unique ID ,Location Name ,Street,City,state-province ,Country,Postal Code
1,ARRIS TECHNOLOGY INC,8 TECHNOLOGY DR,WESTBOROUGH,MA,US,01581-1756
6,ARRIS BROADBAND SOLUTIONS,,HORSHAM,,US,19044-3603
7,ARRIS BROADBAND SOLUTIONS,,HORSHAM,PA,US,19044-3603
11,Antonio Neri,3000 Hanover Street,Palo Alto,CA,US,34301
16,Sebastian & Co,Muttada,Kerala,11,IN,695008
17,Sebastian & Co,Muttada,Kera,11,IN,695008
18,Bala Mohan,Kochi,Kochi,11,IN,695001
21,Sadasivan Logistics Ltd,"101,Electronic City",Bangalore,10,IN,560068
26,Wallmart_Canada,,Kochi,11,IN,400102
31,Aruvi Logistics,"Electronic City,Hosur",Hosur,10,IN,635109
36,Gobierno del Estado,,Quito,,EC,283830
37,abc def,,abc,,IN,123456
38,abc def,,pu,,IN,121212
39,abc def,,pu1,,IN,121213
40,abc def,,pu1,,IN,121213
41,abc def,,pu1,,IN,121213
42,abc def,,pu1,,IN,121213
43,abc def,,pu1,,IN,121213
44,abc def,,pu1,,IN,121213
45,abc def,,pu1,,IN,121213
1000040,ARRIS BROADBAND SOLUTIONS,Test1,HORSHAM,,US,19044-3603
1000050,ARRIS TECHNOLOGY INC,Test1,WESTBOROUGH,MA,US,01581-1756
1000060,MSC Technologies GmbH,Industriestraße 16,Stutensee,,DK,76297
1000080,ARRIS Group Inc,Test1,HORSHAM,PA,US,19044-3603
1000081,ARRIS TECHNOLOGY INC,Test1,HORSHAM,PA,US,19044-3603
1000090,Microsoft,Test1,Milpitas,CA,US,95035
1000101,HPE RSP1,Test1,Irvine,CA,US,92612
1000110,Santoyo Macuarro,,Palo Alto,CA,US,94304
1000122,Serapio Joso,,El Paso,TX,US,79905
1000130,Costco,,Chicago,IL,US,60007
1000131,Sams Club,,Houston,TX,US,77070
1000140,HP Customer,,San Jose,CA,US,95125
1000141,HP Customer,,San Jose,CA,US,95125
1000150,Aero Trader,2985 S STATE HIGHWAY 360,Grand Prairie,TX,US,75052
1000151,Textron Aviation,285 S GREENWICH RD,WICHITA,KS,US,67207
1000171,Callaway Golf,2180 Rutherford Rd,"Rutherford Rd, Carlsbad",CA,US,92008
1000202,Wallmart_Australia,,Kochi,11,IN,400102
1000203,Wallmart_US,,Kochi,11,IN,400102
1000250,Swift Apple Retailer,,Penang,,MY,47120
1000251,Roche Malaysia,"Persiaran Laggon, Bandar Sunway",Subang Jaya,SEL,MY,47500
1000252,II-VI,Kinta Free Industrial Zone,Ipoh,PER,MY,31200
1000270,AMC CUST1,,Milpitas,CA,US,95035
1000271,AMC CUST2,,Milpitas,CA,US,95035
1000272,AMC CUST3,,Milpitas,CA,US,95035
1000273,AMC CUST4,,Milpitas,CA,US,95035
1000274,AMC CUST5,,Milpitas,CA,US,95035
1000280,Maurya,,Bangalore,,IN,560037
10100001,Inlandskunde DE 1,Lindenstraße 2,Schöntal,BW,DK,74214
